Category,Name,Density [kg/m^3],Poisson's Ratio,Young's Modulus [Pa],Tensile Yield Strength [Pa],Ultimate Tensile Strength [Pa],Compressive Yield Strength [Pa],Ultimate Compressive Strength [Pa]
Ceramic,Alumina Oxide,3848,0.22,3.7E+11,0,300000000,0,0
Ceramic,Brick,1765,0.212,22100000000,0,0,33000000,0
Ceramic,Concrete,2300,0.2,30000000000,0,0,87000000,0
Ceramic,Ferrite,4872,0,0,0,50000000,0,0
Ceramic,Porcelain,2403,0.17,1.04E+11,0,0,590000000,0
Ceramic,Silicon Carbide,3100,0.14,4.1E+11,0,0,4600000000,0
Ceramic,Silicon Nitride,3211,0.25,2.9E+11,0,0,0,0
Ceramic,Zirconia,6062,0.33,1.86E+11,0,551000000,3000000000,0
Composite,Carbon fiber epoxy (61%),1600,0,0,0,0,0,0
Composite,FR-4,1850,0,0,0,0,0,0
Composite,Foamcore,663,0,0,0,0,0,0
Composite,Glass-filled epoxy (35%),1900,0,0,0,0,0,0
Composite,Glass-filled nylon (35%),1600,0,0,0,0,0,0
Composite,Glass-filled polyester (35%),2000,0,0,0,0,0,0
Composite,Kevlar epoxy (53%),1350,0,0,0,0,0,0
Composite,Polyetherimide ,1270,0,0,0,0,0,0
Composite,S-glass epoxy (45%),1800,0,0,0,0,0,0
Earth,Graphite,1716,0,0,0,0,0,0
Glass,Glass,2500,0,0,0,0,0,0
Metal,300 Series Stainless Steel,7850,0.29,1.93E+11,207000000,517000000,0,0
Metal,400 Series Stainless Steel,7720,0.282,2E+11,585000000,758000000,0,0
Metal,A2 Stainless Steel,8030,0.29,1.93E+11,207000000,517000000,0,0
Metal,A4 Stainless Steel,7990,0.29,1.93E+11,207000000,517000000,0,0
Metal,Alnico,7391,0,0,0,0,0,0
Metal,Aluminum,2700,0.33,68900000000,27600000,68900000,0,0
Metal,Aluminum - 1060,2700,0.33,68900000000,27600000,68900000,0,0
Metal,Aluminum - 1100,2720,0.33,68900000000,34500000,89600000,0,0
Metal,Aluminum - 2024,2780,0.32,72400000000,276000000,427000000,0,0
Metal,Aluminum - 356,2685,0.33,70300000000,138000000,207000000,0,0
Metal,Aluminum - 380,2768,0.33,71000000000,159000000,317000000,0,0
Metal,Aluminum - 5052,2680,0.33,70000000000,159000000,214000000,0,0
Metal,Aluminum - 6061,2720,0.35,68900000000,241000000,290000000,0,0
Metal,Aluminum - 7050,2800,0.33,71700000000,469000000,524000000,0,0
Metal,Aluminum - 7075,2810,0.33,71700000000,455000000,531000000,0,0
Metal,Aluminum - 7178,2830,0.33,71700000000,538000000,607000000,530000000,0
Metal,Aluminum bronze (3-10% Al),8200,0.316,1.1E+11,205000000,515000000,0,940000000
Metal,Aluminum foil,2725,0,0,0,0,0,0
Metal,Antimony,6690,0,0,0,0,0,0
Metal,Babbitt,7272,0,0,0,0,0,0
Metal,Beryllium,1840,0.07,3.03E+11,240000000,370000000,270000000,0
Metal,Beryllium copper,8175,0.3,1.15E+11,221000000,483000000,0,0
Metal,Brass,8490,0.318,1.06E+11,255000000,430000000,144000000,0
Metal,Brass - casting,8550,0.357,1.05E+11,195000000,490000000,165000000,545000000
Metal,Brass - rolled and drawn,8580,0.311,97000000000,124000000,325000000,0,0
Metal,Brass 60/40,8520,0.35,1.05E+11,140000000,360000000,0,0
Metal,Bronze (8-14% Sn),8150,0.34,1.05E+11,150000000,305000000,0,0
Metal,Bronze - lead,8200,0.28,1.15E+11,83000000,255000000,0,0
Metal,Bronze - phosphorous,8850,0.34,1.1E+11,131000000,324000000,0,0
Metal,Cadmium,8640,0.33,55200000000,0,75000000,0,0
Metal,Calcium,1540,0.31,23400000000,13700000,40000000,0,0
Metal,Carbon Steel,7850,0.29,2.03E+11,685000000,987000000,0,0
Metal,Cast iron,6975,0.287,1.47E+11,428000000,497000000,1020000000,0
Metal,Chromium,7197,0.2,2.48E+11,362000000,413000000,0,0
Metal,Cobalt,8746,0.32,2.11E+11,225000000,800000000,0,0
Metal,Copper,8940,0.343,1.1E+11,33300000,210000000,0,0
Metal,Cupronickel,8924,0.325,1.52E+11,103000000,359000000,0,0
Metal,Ductile Iron,7086,0.283,1.54E+11,501000000,689000000,1260000000,0
Metal,Duralumin,2790,0.33,73100000000,345000000,483000000,0,0
Metal,Gold,19320,0.42,77200000000,0,120000000,0,0
Metal,Hardened Alloy Steel,7850,0.285,2E+11,415000000,655000000,0,0
Metal,Hardened Carbon Steel,7850,0.292,2E+11,896000000,1120000000,2160000000,0
Metal,Hardened Stainless Steel,7740,0.29,1.93E+11,965000000,1280000000,0,0
Metal,Iridium,22650,0,0,0,0,0,0
Metal,Iron,7850,0.291,2E+11,50000000,540000000,0,0
Metal,Lead,11349,0.42,14000000000,5500000,18000000,0,0
Metal,Light alloy based on Al,2680,0.327,77400000000,278000000,344000000,95700000,0
Metal,Light alloy based on Mg,1815,0.337,45200000000,165000000,247000000,180000000,0
Metal,Lithium,534,0,0,0,0,0,0
Metal,Magnesium,1738,0,0,0,0,0,0
Metal,Manganese,7440,0,0,0,0,0,0
Metal,Manganese Bronze,8359,0.34,1.05E+11,460000000,820000000,0,0
Metal,"Maple, Hard",720,0,0,0,0,0,0
Metal,"Maple, Soft",620,0,0,0,0,0,0
Metal,Mercury,13593,0,0,0,0,0,0
Metal,Molybdenum,10214,0,0,0,0,0,0
